,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
273,Indigo,6E- 834,Jan 06,Chennai,Kolkata,06h 25m,1-stop,"12,343"
274,Indigo,6E-6239,Jan 06,Chennai,Kolkata,06h 25m,1-stop,"12,343"
275,Indigo,6E- 495,Jan 06,Chennai,Kolkata,06h 35m,1-stop,"11,871"
276,Indigo,6E-6011,Jan 06,Chennai,Kolkata,06h 35m,1-stop,"11,871"
277,Indigo,6E- 189,Jan 06,Chennai,Kolkata,06h 40m,1-stop,"11,871"
278,Indigo,6E- 613,Jan 06,Chennai,Kolkata,06h 45m,1-stop,"13,210"
279,Indigo,6E- 923,Jan 06,Chennai,Kolkata,07h 00m,1-stop,"13,210"
280,Indigo,6E-6213,Jan 06,Chennai,Kolkata,07h 30m,1-stop,"13,210"
281,Indigo,6E-6892,Jan 06,Chennai,Kolkata,07h 35m,1-stop,"14,548"
282,Indigo,6E-2598,Jan 06,Chennai,Kolkata,07h 35m,1-stop,"14,548"
283,Indigo,6E-5229,Jan 06,Chennai,Kolkata,07h 40m,1-stop,"14,548"
284,Indigo,6E-6309,Jan 06,Chennai,Kolkata,07h 45m,1-stop,"14,758"
285,Indigo,6E- 847,Jan 06,Chennai,Kolkata,07h 45m,1-stop,"14,758"
286,Indigo,6E- 891,Jan 06,Chennai,Kolkata,02h 10m,non-stop,"14,758"
287,Indigo,6E- 606,Jan 06,Chennai,Kolkata,02h 15m,non-stop,"14,758"
288,Air India,AI-786,Jan 06,Chennai,Kolkata,02h 30m,non-stop,"14,758"
289,AirAsia,I5-612,Jan 06,Chennai,Kolkata,06h 50m,1-stop,"14,475"
290,AirAsia,I5-612,Jan 06,Chennai,Kolkata,12h 15m,1-stop,"14,475"
291,Indigo,6E- 189,Jan 06,Chennai,Kolkata,05h 10m,1-stop,"14,475"
292,Indigo,6E-6892,Jan 06,Chennai,Kolkata,05h 20m,1-stop,"15,105"
293,Indigo,6E- 539,Jan 06,Chennai,Kolkata,05h 35m,1-stop,"15,105"
294,Indigo,6E-6113,Jan 06,Chennai,Kolkata,06h 45m,1-stop,"15,105"
295,Indigo,6E-6326,Jan 06,Chennai,Kolkata,02h 15m,non-stop,"15,105"
296,Indigo,6E- 321,Jan 06,Chennai,Kolkata,02h 20m,non-stop,"15,105"
297,Indigo,6E-6925,Jan 06,Chennai,Kolkata,04h 25m,1-stop,"15,105"
298,Indigo,6E-6288,Jan 06,Chennai,Kolkata,06h 50m,1-stop,"15,105"
299,Indigo,6E-6518,Jan 06,Chennai,Kolkata,05h 25m,1-stop,"15,105"
300,Air India,AI-574,Jan 06,Chennai,Kolkata,12h 30m,1-stop,"17,593"
301,Indigo,6E-7044,Jan 06,Chennai,Kolkata,05h 55m,1-stop,"17,383"
302,Air India,AI-574,Jan 06,Chennai,Kolkata,26h 40m,1-stop,"17,383"
303,Air India,AI-574,Jan 06,Chennai,Kolkata,27h 30m,1-stop,"17,593"
304,Vistara,UK-824,Jan 06,Chennai,Kolkata,13h 10m,1-stop,"17,593"
305,Vistara,UK-826,Jan 06,Chennai,Kolkata,21h 10m,1-stop,"19,084"
306,Vistara,UK-824,Jan 06,Chennai,Kolkata,23h 20m,1-stop,"19,084"
307,Indigo,6E-6815,Jan 06,Chennai,Kolkata,06h 00m,1-stop,"18,643"
308,Vistara,UK-826,Jan 06,Chennai,Kolkata,07h 20m,1-stop,"18,748"
309,Vistara,UK-824,Jan 06,Chennai,Kolkata,20h 20m,1-stop,"18,748"
310,Vistara,UK-826,Jan 06,Chennai,Kolkata,28h 20m,1-stop,"18,748"
311,Indigo,6E- 288,Jan 06,Chennai,Kolkata,06h 25m,1-stop,"21,774"
312,Air India,AI-538,Jan 06,Chennai,Kolkata,12h 35m,1-stop,"21,970"
313,Air India,AI-539,Jan 06,Chennai,Kolkata,16h 10m,1-stop,"24,313"
314,Air India,AI-557,Jan 06,Chennai,Kolkata,17h 25m,1-stop,"24,733"
315,Air India,AI-557,Jan 06,Chennai,Kolkata,06h 45m,1-stop,"26,907"
316,Air India,AI-430,Jan 06,Chennai,Kolkata,08h 55m,1-stop,"26,907"
317,Air India,AI-553,Jan 06,Chennai,Kolkata,11h 10m,1-stop,"26,907"
318,Air India,AI-430,Jan 06,Chennai,Kolkata,12h 20m,1-stop,"29,983"
319,Air India,AI-553,Jan 06,Chennai,Kolkata,14h 35m,1-stop,"35,653"
320,SpiceJet,SG- 537,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,235"
321,Air India,AI-1808,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"5,250"
322,SpiceJet,SG-8134,Jan 06,Bangalore,Delhi,02h 10m,non-stop,"5,235"
323,SpiceJet,SG- 535,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,235"
324,AirAsia,I5-749,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,236"
325,Indigo,6E-5021,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"5,658"
326,Indigo,6E-2402,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"5,658"
327,Indigo,6E-6813,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"5,658"
328,AirAsia,I5-942,Jan 06,Bangalore,Delhi,05h 45m,1-stop,"5,685"
329,AirAsia,I5-1532,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"5,685"
330,AirAsia,I5-1452,Jan 06,Bangalore,Delhi,11h 55m,1-stop,"6,159"
331,AirAsia,I5-1528,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"6,058"
332,AirAsia,I5-996,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"6,163"
333,Indigo,6E-5039,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"6,163"
334,Air India,AI-804,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"6,297"
335,GO FIRST,G8- 116,Jan 06,Bangalore,Delhi,02h 40m,non-stop,"6,297"
336,GO FIRST,G8- 118,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"7,142"
337,SpiceJet,SG- 136,Jan 06,Bangalore,Delhi,02h 40m,non-stop,"7,142"
338,Indigo,6E-6247,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"7,142"
339,Indigo,6E-2053,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"7,142"
340,Indigo,6E- 886,Jan 06,Bangalore,Delhi,05h 15m,1-stop,"7,142"
341,Indigo,6E- 638,Jan 06,Bangalore,Delhi,05h 15m,1-stop,"7,142"
342,Indigo,6E-6365,Jan 06,Bangalore,Delhi,05h 30m,1-stop,"7,142"
343,Indigo,6E-6753,Jan 06,Bangalore,Delhi,05h 35m,1-stop,"7,142"
344,Indigo,6E- 116,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"7,142"
345,Indigo,6E- 687,Jan 06,Bangalore,Delhi,05h 55m,1-stop,"7,608"
346,Indigo,6E- 537,Jan 06,Bangalore,Delhi,06h 00m,1-stop,"8,493"
347,Indigo,6E-6491,Jan 06,Bangalore,Delhi,06h 15m,1-stop,"9,726"
348,Indigo,6E- 638,Jan 06,Bangalore,Delhi,06h 20m,1-stop,"9,726"
349,Indigo,6E-6743,Jan 06,Bangalore,Delhi,06h 25m,1-stop,"8,819"
350,Indigo,6E- 415,Jan 06,Bangalore,Delhi,06h 40m,1-stop,"8,960"
351,Indigo,6E- 484,Jan 06,Bangalore,Delhi,06h 50m,1-stop,"8,960"
352,Indigo,6E-6876,Jan 06,Bangalore,Delhi,07h 00m,1-stop,"9,702"
353,Indigo,6E- 469,Jan 06,Bangalore,Delhi,07h 40m,1-stop,"9,726"
354,Indigo,6E-6067,Jan 06,Bangalore,Delhi,07h 55m,1-stop,"9,726"
355,Indigo,6E-6491,Jan 06,Bangalore,Delhi,08h 00m,1-stop,"11,044"
356,Indigo,6E- 537,Jan 06,Bangalore,Delhi,08h 25m,1-stop,"11,676"
357,Indigo,6E- 528,Jan 06,Bangalore,Delhi,08h 50m,1-stop,"10,041"
358,AirAsia,I5-1731,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,328"
359,AirAsia,I5-1455,Jan 06,Bangalore,Delhi,09h 05m,1-stop,"11,328"
360,AirAsia,I5-1567,Jan 06,Bangalore,Delhi,09h 30m,1-stop,"11,328"
361,Indigo,6E-2174,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,328"
362,SpiceJet,SG- 531,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"11,044"
363,SpiceJet,SG- 531,Jan 06,Bangalore,Delhi,21h 50m,1-stop,"10,593"
364,Indigo,6E- 735,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"10,593"
365,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,05h 10m,1-stop,"10,593"
366,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,06h 30m,1-stop,"10,593"
367,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,14h 05m,1-stop,"10,616"
368,GO FIRST,G8- 721,Jan 06,Bangalore,Delhi,15h 20m,1-stop,"10,616"
369,Air India,AI-503,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"10,624"
370,Air India,AI-505,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"10,986"
371,Air India,AI-507,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"10,986"
372,Air India,AI-511,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"10,986"
373,Air India,AI-509,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"11,138"
374,Air India,AI-808,Jan 06,Bangalore,Delhi,03h 10m,non-stop,"11,327"
375,AirAsia,I5-386,Jan 06,Bangalore,Delhi,05h 20m,1-stop,"11,327"
376,AirAsia,I5-819,Jan 06,Bangalore,Delhi,05h 25m,1-stop,"11,359"
377,AirAsia,I5-976,Jan 06,Bangalore,Delhi,07h 00m,1-stop,"11,359"
378,AirAsia,I5-1426,Jan 06,Bangalore,Delhi,07h 20m,1-stop,"11,601"
379,AirAsia,I5-1781,Jan 06,Bangalore,Delhi,07h 30m,1-stop,"11,601"
380,AirAsia,I5-1621,Jan 06,Bangalore,Delhi,07h 35m,1-stop,"11,601"
381,AirAsia,I5-1621,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"11,601"
382,AirAsia,I5-819,Jan 06,Bangalore,Delhi,10h 40m,1-stop,"11,916"
383,AirAsia,I5-1453,Jan 06,Bangalore,Delhi,12h 45m,1-stop,"11,916"
384,Indigo,6E-2433,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,916"
385,AirAsia,I5-1426,Jan 06,Bangalore,Delhi,10h 20m,1-stop,"11,989"
386,Indigo,6E-2186,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"11,989"
387,GO FIRST,G8- 721,Jan 06,Bangalore,Delhi,08h 00m,1-stop,"12,139"
388,Indigo,6E- 869,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,199"
389,Indigo,6E-6621,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,546"
390,Indigo,6E-2401,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"12,546"
391,Indigo,6E-6923,Jan 06,Bangalore,Delhi,06h 40m,1-stop,"12,561"
392,Indigo,6E-6563,Jan 06,Bangalore,Delhi,06h 50m,1-stop,"12,724"
393,AirAsia,I5-741,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,801"
394,Vistara,UK-508,Jan 06,Bangalore,Delhi,13h 05m,1-stop,"12,801"
395,Vistara,UK-508,Jan 06,Bangalore,Delhi,13h 55m,1-stop,"12,861"
396,AirAsia,I5-1780,Jan 06,Bangalore,Delhi,09h 05m,1-stop,"12,861"
397,Air India,AI-564,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"12,861"
398,Air India,AI-564,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"12,861"
399,Air India,AI-564,Jan 06,Bangalore,Delhi,18h 55m,1-stop,"13,039"
400,Air India,AI-564,Jan 06,Bangalore,Delhi,20h 45m,1-stop,"13,218"
401,Air India,AI-564,Jan 06,Bangalore,Delhi,23h 00m,1-stop,"13,218"
402,SpiceJet,SG- 768,Jan 06,Bangalore,Delhi,20h 00m,1-stop,"13,218"
403,SpiceJet,SG- 768,Jan 06,Bangalore,Delhi,27h 30m,1-stop,"13,664"
404,GO FIRST,G8- 401,Jan 06,Bangalore,Delhi,06h 05m,1-stop,"13,879"
405,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,06h 15m,1-stop,"13,805"
406,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,07h 10m,1-stop,"14,136"
407,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,11h 35m,1-stop,"14,194"
408,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,13h 10m,1-stop,"14,273"
409,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,13h 20m,1-stop,"14,436"
410,GO FIRST,G8- 274,Jan 06,Bangalore,Delhi,13h 30m,1-stop,"14,824"
411,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,14h 25m,1-stop,"15,344"
412,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,14h 30m,1-stop,"15,344"
413,GO FIRST,G8- 801,Jan 06,Bangalore,Delhi,14h 55m,1-stop,"15,381"
414,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,15h 30m,1-stop,"15,696"
415,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,15h 40m,1-stop,"15,696"
416,Indigo,6E- 116,Jan 06,Bangalore,Delhi,08h 50m,1-stop,"15,843"
417,AirAsia,I5-1228,Jan 06,Bangalore,Delhi,10h 10m,2+-stop,"15,843"
418,Vistara,UK-508,Jan 06,Bangalore,Delhi,20h 50m,1-stop,"15,874"
419,Vistara,UK-508,Jan 06,Bangalore,Delhi,21h 30m,1-stop,"15,999"
420,Air India,AI-516,Jan 06,Bangalore,Delhi,15h 45m,1-stop,"16,011"
421,Indigo,6E-6178,Jan 06,Bangalore,Delhi,07h 50m,1-stop,"16,286"
422,Vistara,UK-508,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"16,286"
423,Air India,AI-640,Jan 06,Bangalore,Delhi,11h 15m,1-stop,"16,641"
424,Air India,AI-640,Jan 06,Bangalore,Delhi,12h 00m,1-stop,"16,641"
425,Air India,AI-640,Jan 06,Bangalore,Delhi,05h 35m,1-stop,"16,641"
426,Air India,AI-640,Jan 06,Bangalore,Delhi,13h 40m,1-stop,"16,903"
427,Indigo,6E- 408,Jan 06,Bangalore,Delhi,05h 55m,1-stop,"16,997"
428,Indigo,6E- 528,Jan 06,Bangalore,Delhi,06h 25m,1-stop,"17,686"
429,Air India,AI-516,Jan 06,Bangalore,Delhi,05h 05m,1-stop,"21,202"
430,SpiceJet,SG- 537,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,235"
431,Air India,AI-1808,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"5,250"
432,SpiceJet,SG-8134,Jan 06,Bangalore,Delhi,02h 10m,non-stop,"5,235"
433,SpiceJet,SG- 535,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,235"
434,AirAsia,I5-749,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"5,236"
435,Indigo,6E-5021,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"5,658"
436,Indigo,6E-2402,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"5,658"
437,Indigo,6E-6813,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"5,658"
438,AirAsia,I5-942,Jan 06,Bangalore,Delhi,05h 45m,1-stop,"5,685"
439,AirAsia,I5-1532,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"5,685"
440,AirAsia,I5-1452,Jan 06,Bangalore,Delhi,11h 55m,1-stop,"6,159"
441,AirAsia,I5-1528,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"6,058"
442,AirAsia,I5-996,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"6,163"
443,Indigo,6E-5039,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"6,163"
444,Air India,AI-804,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"6,297"
445,GO FIRST,G8- 116,Jan 06,Bangalore,Delhi,02h 40m,non-stop,"6,297"
446,GO FIRST,G8- 118,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"7,142"
447,SpiceJet,SG- 136,Jan 06,Bangalore,Delhi,02h 40m,non-stop,"7,142"
448,Indigo,6E-6247,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"7,142"
449,Indigo,6E-2053,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"7,142"
450,Indigo,6E- 886,Jan 06,Bangalore,Delhi,05h 15m,1-stop,"7,142"
451,Indigo,6E- 638,Jan 06,Bangalore,Delhi,05h 15m,1-stop,"7,142"
452,Indigo,6E-6365,Jan 06,Bangalore,Delhi,05h 30m,1-stop,"7,142"
453,Indigo,6E-6753,Jan 06,Bangalore,Delhi,05h 35m,1-stop,"7,142"
454,Indigo,6E- 116,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"7,142"
455,Indigo,6E- 687,Jan 06,Bangalore,Delhi,05h 55m,1-stop,"7,608"
456,Indigo,6E- 537,Jan 06,Bangalore,Delhi,06h 00m,1-stop,"8,493"
457,Indigo,6E-6491,Jan 06,Bangalore,Delhi,06h 15m,1-stop,"9,726"
458,Indigo,6E- 638,Jan 06,Bangalore,Delhi,06h 20m,1-stop,"9,726"
459,Indigo,6E-6743,Jan 06,Bangalore,Delhi,06h 25m,1-stop,"8,819"
460,Indigo,6E- 415,Jan 06,Bangalore,Delhi,06h 40m,1-stop,"8,960"
461,Indigo,6E- 484,Jan 06,Bangalore,Delhi,06h 50m,1-stop,"8,960"
462,Indigo,6E-6876,Jan 06,Bangalore,Delhi,07h 00m,1-stop,"9,702"
463,Indigo,6E- 469,Jan 06,Bangalore,Delhi,07h 40m,1-stop,"9,726"
464,Indigo,6E-6067,Jan 06,Bangalore,Delhi,07h 55m,1-stop,"9,726"
465,Indigo,6E-6491,Jan 06,Bangalore,Delhi,08h 00m,1-stop,"11,044"
466,Indigo,6E- 537,Jan 06,Bangalore,Delhi,08h 25m,1-stop,"11,676"
467,Indigo,6E- 528,Jan 06,Bangalore,Delhi,08h 50m,1-stop,"10,041"
468,AirAsia,I5-1731,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,328"
469,AirAsia,I5-1455,Jan 06,Bangalore,Delhi,09h 05m,1-stop,"11,328"
470,AirAsia,I5-1567,Jan 06,Bangalore,Delhi,09h 30m,1-stop,"11,328"
471,Indigo,6E-2174,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,328"
472,SpiceJet,SG- 531,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"11,044"
473,SpiceJet,SG- 531,Jan 06,Bangalore,Delhi,21h 50m,1-stop,"10,593"
474,Indigo,6E- 735,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"10,593"
475,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,05h 10m,1-stop,"10,593"
476,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,06h 30m,1-stop,"10,593"
477,GO FIRST,G8- 241,Jan 06,Bangalore,Delhi,14h 05m,1-stop,"10,616"
478,GO FIRST,G8- 721,Jan 06,Bangalore,Delhi,15h 20m,1-stop,"10,616"
479,Air India,AI-503,Jan 06,Bangalore,Delhi,02h 45m,non-stop,"10,624"
480,Air India,AI-505,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"10,986"
481,Air India,AI-507,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"10,986"
482,Air India,AI-511,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"10,986"
483,Air India,AI-509,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"11,138"
484,Air India,AI-808,Jan 06,Bangalore,Delhi,03h 10m,non-stop,"11,327"
485,AirAsia,I5-386,Jan 06,Bangalore,Delhi,05h 20m,1-stop,"11,327"
486,AirAsia,I5-819,Jan 06,Bangalore,Delhi,05h 25m,1-stop,"11,359"
487,AirAsia,I5-976,Jan 06,Bangalore,Delhi,07h 00m,1-stop,"11,359"
488,AirAsia,I5-1426,Jan 06,Bangalore,Delhi,07h 20m,1-stop,"11,601"
489,AirAsia,I5-1781,Jan 06,Bangalore,Delhi,07h 30m,1-stop,"11,601"
490,AirAsia,I5-1621,Jan 06,Bangalore,Delhi,07h 35m,1-stop,"11,601"
491,AirAsia,I5-1621,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"11,601"
492,AirAsia,I5-819,Jan 06,Bangalore,Delhi,10h 40m,1-stop,"11,916"
493,AirAsia,I5-1453,Jan 06,Bangalore,Delhi,12h 45m,1-stop,"11,916"
494,Indigo,6E-2433,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"11,916"
495,AirAsia,I5-1426,Jan 06,Bangalore,Delhi,10h 20m,1-stop,"11,989"
496,Indigo,6E-2186,Jan 06,Bangalore,Delhi,02h 55m,non-stop,"11,989"
497,GO FIRST,G8- 721,Jan 06,Bangalore,Delhi,08h 00m,1-stop,"12,139"
498,Indigo,6E- 869,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,199"
499,Indigo,6E-6621,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,546"
500,Indigo,6E-2401,Jan 06,Bangalore,Delhi,03h 00m,non-stop,"12,546"
501,Indigo,6E-6923,Jan 06,Bangalore,Delhi,06h 40m,1-stop,"12,561"
502,Indigo,6E-6563,Jan 06,Bangalore,Delhi,06h 50m,1-stop,"12,724"
503,AirAsia,I5-741,Jan 06,Bangalore,Delhi,02h 50m,non-stop,"12,801"
504,Vistara,UK-508,Jan 06,Bangalore,Delhi,13h 05m,1-stop,"12,801"
505,Vistara,UK-508,Jan 06,Bangalore,Delhi,13h 55m,1-stop,"12,861"
506,AirAsia,I5-1780,Jan 06,Bangalore,Delhi,09h 05m,1-stop,"12,861"
507,Air India,AI-564,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"12,861"
508,Air India,AI-564,Jan 06,Bangalore,Delhi,09h 25m,1-stop,"12,861"
509,Air India,AI-564,Jan 06,Bangalore,Delhi,18h 55m,1-stop,"13,039"
510,Air India,AI-564,Jan 06,Bangalore,Delhi,20h 45m,1-stop,"13,218"
511,Air India,AI-564,Jan 06,Bangalore,Delhi,23h 00m,1-stop,"13,218"
512,SpiceJet,SG- 768,Jan 06,Bangalore,Delhi,20h 00m,1-stop,"13,218"
513,SpiceJet,SG- 768,Jan 06,Bangalore,Delhi,27h 30m,1-stop,"13,664"
514,GO FIRST,G8- 401,Jan 06,Bangalore,Delhi,06h 05m,1-stop,"13,879"
515,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,06h 15m,1-stop,"13,805"
516,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,07h 10m,1-stop,"14,136"
517,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,11h 35m,1-stop,"14,194"
518,GO FIRST,G8- 320,Jan 06,Bangalore,Delhi,13h 10m,1-stop,"14,273"
519,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,13h 20m,1-stop,"14,436"
520,GO FIRST,G8- 274,Jan 06,Bangalore,Delhi,13h 30m,1-stop,"14,824"
521,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,14h 25m,1-stop,"15,344"
522,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,14h 30m,1-stop,"15,344"
523,GO FIRST,G8- 801,Jan 06,Bangalore,Delhi,14h 55m,1-stop,"15,381"
524,GO FIRST,G8- 395,Jan 06,Bangalore,Delhi,15h 30m,1-stop,"15,696"
525,GO FIRST,G8- 399,Jan 06,Bangalore,Delhi,15h 40m,1-stop,"15,696"
526,Indigo,6E- 116,Jan 06,Bangalore,Delhi,08h 50m,1-stop,"15,843"
527,AirAsia,I5-1228,Jan 06,Bangalore,Delhi,10h 10m,2+-stop,"15,843"
528,Vistara,UK-508,Jan 06,Bangalore,Delhi,20h 50m,1-stop,"15,874"
529,Vistara,UK-508,Jan 06,Bangalore,Delhi,21h 30m,1-stop,"15,999"
530,Air India,AI-516,Jan 06,Bangalore,Delhi,15h 45m,1-stop,"16,011"
531,Indigo,6E-6178,Jan 06,Bangalore,Delhi,07h 50m,1-stop,"16,286"
532,Vistara,UK-508,Jan 06,Bangalore,Delhi,05h 50m,1-stop,"16,286"
533,Air India,AI-640,Jan 06,Bangalore,Delhi,11h 15m,1-stop,"16,641"
534,Air India,AI-640,Jan 06,Bangalore,Delhi,12h 00m,1-stop,"16,641"
535,Air India,AI-640,Jan 06,Bangalore,Delhi,05h 35m,1-stop,"16,641"
536,Air India,AI-640,Jan 06,Bangalore,Delhi,13h 40m,1-stop,"16,903"
537,Indigo,6E- 408,Jan 06,Bangalore,Delhi,05h 55m,1-stop,"16,997"
538,Indigo,6E- 528,Jan 06,Bangalore,Delhi,06h 25m,1-stop,"17,686"
539,Air India,AI-516,Jan 06,Bangalore,Delhi,05h 05m,1-stop,"21,202"
